STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/6/14,0,"T,,s",,,80,",,s",88,",,s",75,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/6/15,0.02,",,s",,,78,",,s",81,",,s",74,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/6/16,0,"T,,s",,,78,",,s",84,",,s",72,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/6/17,0,",,s",,,76,",,s",82,",,s",74,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/6/18,0.01,",,s",,,72,",,s",76,",,s",69,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/6/19,0.08,",,s",,,72,",,s",82,",,s",65,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/6/20,0,"T,,s",,,76,",,s",84,",,s",70,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/6/21,0,"T,,s",,,77,",,s",86,",,s",71,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/6/22,0.13,",,s",,,74,",,s",80,",,s",69,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/6/23,0.52,",,s",,,70,",,s",74,",,s",68,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/6/24,0.07,",,s",,,76,",,s",86,",,s",66,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/6/25,0,"T,,s",,,79,",,s",86,",,s",71,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/6/26,0,",,s",,,80,",,s",89,",,s",74,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/6/27,0.01,",,s",,,80,",,s",87,",,s",74,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/6/28,2.09,",,s",,,76,",,s",83,",,s",70,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/6/29,0.33,",,s",,,76,",,s",79,",,s",73,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/6/30,0.39,",,s",,,78,",,s",85,",,s",74,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/7/1,0,",,s",,,81,",,s",88,",,s",77,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/7/2,0,"T,,s",,,80,",,s",85,",,s",76,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/7/3,1.98,",,s",,,73,",,s",81,",,s",70,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/7/4,0,",,s",,,75,",,s",81,",,s",71,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/7/5,0,",,s",,,78,",,s",87,",,s",68,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/7/6,0.04,",,s",,,76,",,s",83,",,s",73,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/7/7,0.81,",,s",,,71,",,s",74,",,s",66,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/7/8,0,",,s",,,74,",,s",81,",,s",69,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/7/9,0.05,",,s",,,74,",,s",81,",,s",70,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/7/10,0.07,",,s",,,77,",,s",85,",,s",72,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/7/11,0,"T,,s",,,78,",,s",85,",,s",73,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/7/12,0.01,",,s",,,78,",,s",87,",,s",70,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/7/13,0,",,s",,,79,",,s",89,",,s",69,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/7/14,0,",,s",,,80,",,s",89,",,s",71,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/7/15,1.86,",,s",,,72,",,s",84,",,s",67,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/7/16,0,",,s",,,72,",,s",80,",,s",65,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/7/17,0,",,s",,,77,",,s",85,",,s",71,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/7/18,0,",,s",,,77,",,s",87,",,s",69,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/7/19,0,",,s",,,79,",,s",88,",,s",71,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/7/20,0,",,s",,,81,",,s",89,",,s",73,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/7/21,0,",,s",,,81,",,s",90,",,s",72,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/7/22,0.11,",,s",,,82,",,s",89,",,s",74,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/7/23,0.39,",,s",,,79,",,s",87,",,s",73,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/7/24,0.43,",,s",,,79,",,s",90,",,s",71,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/7/25,0.04,",,s",,,79,",,s",85,",,s",75,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/7/26,0,",,s",,,81,",,s",90,",,s",75,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/7/27,2.29,",,s",,,78,",,s",85,",,s",73,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/7/28,0.57,",,s",,,79,",,s",87,",,s",74,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/7/29,1.55,",,s",,,76,",,s",82,",,s",74,",,s"
